emp_id,emp_name,skill_id,skill_name,proficiency_level,no_of_projects_done_in_that_skill,certifications
E2994,Daniel Golden,S011,Consulting Basics,4,4,No
E1038,Angela Lyons,S010,Big Data,6,12,No
E2162,John Cruz,S005,HTML/CSS,1,2,No
E3098,Brian Davis,S013,Financial Modeling,4,3,No
E696,Gregory Smith,S001,JavaScript,2,4,No
E4172,Elizabeth Ryan,S009,Data Visualization,3,2,No
E2544,Nicole Stanley,S008,Machine Learning,3,3,No
E2242,James Collier,S013,Financial Modeling,1,4,No
E1478,Andrea Castro,S009,Data Visualization,1,3,Yes
E3792,Todd Erickson,S001,JavaScript,4,1,Yes
E4111,Donald Henderson,S001,JavaScript,3,4,No
E245,Shannon Gutierrez,S009,Data Visualization,9,12,No
E305,Linda Hunter,S007,SQL,3,4,Yes
E4221,Lori Chandler,S015,Risk Management,2,4,No
E3946,Charles Ramos,S010,Big Data,1,4,Yes
E1343,Tamara Edwards,S006,Python,1,4,Yes
E835,Timothy Delacruz,S006,Python,1,1,No
E2818,Donna Carroll,S004,Docker,4,2,No
E2857,Laura Olson,S001,JavaScript,5,2,No
E1576,Andrew Hayden,S012,Project Management,5,3,Yes
E1591,Jessica Hanson,S004,Docker,3,3,No
E3574,Tamara Wade,S012,Project Management,4,3,Yes
E4311,Joe Gutierrez,S005,HTML/CSS,1,2,Yes
E4139,Krystal Avila,S009,Data Visualization,1,2,Yes
E1056,Sarah Brady,S015,Risk Management,5,2,Yes
E1523,Toni Castro,S012,Project Management,3,3,No
E2482,Joy Brown,S009,Data Visualization,2,1,No
E467,Brooke Griffin,S014,Client Management,8,7,Yes
E571,Richard Norris,S004,Docker,4,4,Yes
E2490,Michael Edwards,S001,JavaScript,4,4,No
E1144,Audrey Tucker,S007,SQL,4,3,No
E3835,Bradley Avila,S006,Python,9,10,Yes
E254,Dr. Larry Hernandez,S015,Risk Management,5,1,Yes
E1113,John Stokes,S010,Big Data,9,12,Yes
E2161,Anna Horne,S006,Python,8,5,No
E4411,Melinda Carpenter,S013,Financial Modeling,4,3,Yes
E3853,Katrina Smith,S006,Python,5,4,No
E328,Andrew Jimenez,S003,Node.js,4,1,No
E699,John Beck,S003,Node.js,6,8,No
E3895,Kristina Garcia,S011,Consulting Basics,3,2,Yes
E3877,Betty Ellison,S006,Python,3,1,Yes
E1096,Christina Jacobs,S008,Machine Learning,5,1,Yes
E4423,Ricky Stevenson,S001,JavaScript,8,12,Yes
E4698,Kimberly Wiggins,S002,React,5,1,No
E3901,Eric White,S008,Machine Learning,4,1,No
E2531,Russell Lyons,S010,Big Data,3,3,Yes
E1624,Natasha Burns,S003,Node.js,3,4,No
E3912,Thomas Page,S012,Project Management,5,4,No
E2929,Cody Donaldson,S003,Node.js,5,1,No
E1834,Sonya Palmer,S003,Node.js,2,1,Yes
E1118,Emily Kelly,S011,Consulting Basics,5,1,Yes
E270,Madison Smith,S001,JavaScript,2,2,No
E1489,Tiffany Phillips,S001,JavaScript,3,4,No
E2229,Stephen Cochran,S006,Python,9,10,No
E3151,Thomas Torres,S010,Big Data,2,4,No
E3770,Timothy Smith,S002,React,1,3,Yes
E2127,Dustin Clark,S014,Client Management,5,4,Yes
E1800,Samuel Barrett,S015,Risk Management,2,4,Yes
E3083,Christine Ward,S006,Python,6,10,Yes
E4290,Natalie Johnson,S006,Python,4,2,Yes
E1038,Angela Lyons,S007,SQL,2,3,No
E3435,Larry Jackson,S002,React,2,3,No
E508,Doris Carey,S014,Client Management,3,2,No
E1349,Amanda Decker,S006,Python,3,2,No
E2663,Sheryl Graves,S006,Python,1,4,No
E1288,Katrina Smith,S010,Big Data,7,8,Yes
E4287,Tammy Moran,S013,Financial Modeling,4,2,No
E1157,Yvette Weaver,S002,React,1,2,No
E1749,Steven Hernandez,S005,HTML/CSS,5,3,No
E4044,Russell Griffin,S015,Risk Management,1,3,No
E3946,Charles Ramos,S013,Financial Modeling,5,4,No
E1156,Amy Martinez,S013,Financial Modeling,4,3,Yes
E4510,Nicholas Jackson,S005,HTML/CSS,2,2,Yes
E898,Ryan White,S011,Consulting Basics,2,1,No
E353,Cody Novak,S012,Project Management,1,4,No
E1345,George Peterson,S009,Data Visualization,4,4,Yes
E4774,Taylor Hodge,S013,Financial Modeling,7,8,No
E2087,William Owens,S012,Project Management,9,11,Yes
E4915,Kelly Smith,S011,Consulting Basics,5,1,No
E1725,Carol Klein,S003,Node.js,4,2,Yes
E4427,Alex Gentry,S001,JavaScript,5,1,Yes
E162,Alyssa Hart,S009,Data Visualization,5,1,No
E4455,Todd Ford,S009,Data Visualization,7,6,No
E2186,Kevin Escobar,S013,Financial Modeling,4,3,No
E1059,Christopher Osborne,S006,Python,2,4,No
E3927,Stephanie Beck,S012,Project Management,1,1,Yes
E4971,Debra Ray,S010,Big Data,2,2,No
E4859,Jennifer Roberts,S014,Client Management,5,1,Yes
E2313,Samantha Nelson,S004,Docker,5,1,No
E012,Angela West,S007,SQL,1,2,Yes
E1776,Ricky Jimenez,S001,JavaScript,4,2,No
E3075,Sylvia Cochran,S012,Project Management,2,2,No
E2176,Edward Baldwin,S007,SQL,7,12,Yes
E4614,Matthew Martin,S001,JavaScript,1,4,Yes
E629,David Bates,S005,HTML/CSS,5,1,No
E3896,Nicholas Peterson,S015,Risk Management,2,2,No
E3933,Mary Huang,S013,Financial Modeling,1,4,Yes
E357,Charlotte Rodriguez,S012,Project Management,4,2,No
E3021,Sarah Hicks,S003,Node.js,2,4,No
E2790,Joshua Brown,S006,Python,3,1,No
E1259,Mckenzie Reyes,S010,Big Data,1,4,Yes
E4340,Michael Maldonado,S006,Python,2,2,No
E1569,Catherine Ramirez,S007,SQL,3,2,Yes
E1938,David Palmer,S003,Node.js,10,9,No
E2748,Peter Soto,S011,Consulting Basics,3,3,No
E4611,Thomas Sherman,S010,Big Data,4,1,Yes
E106,Sean Chavez,S012,Project Management,4,1,No
E3379,Phillip Johnson,S013,Financial Modeling,2,4,Yes
E4249,Jaclyn Robinson,S003,Node.js,3,3,No
E830,Jeffery Harris,S008,Machine Learning,3,1,Yes
E2607,Deborah Pineda,S010,Big Data,1,3,No
E1332,Abigail Jones,S013,Financial Modeling,2,1,Yes
E695,Ashley Johnson MD,S006,Python,2,4,No
E3265,Jose Rivera,S001,JavaScript,4,1,Yes
E909,Kristen Suarez,S011,Consulting Basics,3,4,No
E4599,Marisa Allen,S014,Client Management,1,4,No
E1574,Kristin Ward,S003,Node.js,6,10,No
E2144,Jerry Vega,S015,Risk Management,3,1,Yes
E1015,Chelsea Nguyen,S012,Project Management,3,4,No
E1102,Molly Rodriguez,S004,Docker,3,4,Yes
E3405,William Strickland,S009,Data Visualization,1,2,Yes
E4770,Catherine Schneider,S002,React,1,2,No
E1205,Michael Thomas,S010,Big Data,1,3,Yes
E2883,Andrew Mosley,S010,Big Data,1,1,No
E1755,Robert Deleon,S001,JavaScript,3,4,Yes
E060,Daniel Richards,S008,Machine Learning,5,3,No
E4019,Jonathan Turner,S008,Machine Learning,2,2,Yes
E1300,Kimberly Davis,S010,Big Data,1,1,No
E867,Tristan Rivera,S003,Node.js,2,1,Yes
E673,Samuel Lee,S012,Project Management,4,1,No
E475,Mark Jackson,S008,Machine Learning,9,6,Yes
E496,Jacqueline Martin MD,S013,Financial Modeling,5,3,No
E2004,Daniel Barnett,S013,Financial Modeling,5,1,No
E3439,William Willis,S009,Data Visualization,5,2,No
E941,Tiffany Rios,S013,Financial Modeling,4,1,No
E1021,Joseph Hendricks,S012,Project Management,1,1,Yes
E3692,Ms. Megan Sheppard,S015,Risk Management,2,1,No
E3131,David Davidson,S009,Data Visualization,4,1,No
E3699,Robin Thompson,S007,SQL,10,7,No
E2275,Abigail Jones,S015,Risk Management,2,2,Yes
E1336,Jennifer Baker,S012,Project Management,1,1,Yes
E855,Thomas Walsh,S013,Financial Modeling,3,4,Yes
E2727,Kenneth Duran,S015,Risk Management,3,3,Yes
E1094,Robert Bond,S004,Docker,6,12,No
E3425,Mary Holmes,S005,HTML/CSS,3,2,No
E3954,Kristen Jennings,S009,Data Visualization,5,1,Yes
E3196,Dorothy Wolfe,S009,Data Visualization,5,1,No
E4176,Ryan Dyer,S004,Docker,6,6,Yes
E780,Robert Nelson,S008,Machine Learning,2,3,Yes
E1610,Matthew Marks,S006,Python,1,2,No
E788,Jonathan Freeman,S009,Data Visualization,4,4,Yes
E1130,Patricia Armstrong,S005,HTML/CSS,4,2,No
E4556,Amy Humphrey,S006,Python,1,3,No
E841,Alexandria Clark,S010,Big Data,4,1,No
E3040,Kelly Fischer,S007,SQL,1,3,Yes
E3735,Michael Carter,S006,Python,4,3,No
E228,Douglas Lee,S005,HTML/CSS,4,2,Yes
E892,Emily Goodwin,S004,Docker,5,1,Yes
E2787,Karen Macdonald,S005,HTML/CSS,3,1,Yes
E1190,Kevin Goodman,S008,Machine Learning,1,2,No
E1770,Veronica Duncan,S011,Consulting Basics,5,4,Yes
E1185,Nathan Rogers,S012,Project Management,7,9,No
E1097,Paul Myers,S012,Project Management,2,1,No
E1147,Eric Davis,S003,Node.js,4,1,Yes
E1114,Jody Wu,S005,HTML/CSS,8,9,No
E2512,Dustin Harris,S010,Big Data,4,4,Yes
E2027,Tiffany Taylor,S001,JavaScript,5,4,Yes
E1973,Shane Mendoza,S012,Project Management,2,1,Yes
E805,Christopher Bullock,S001,JavaScript,2,4,Yes
E1854,Autumn Moore,S005,HTML/CSS,1,3,No
E2995,Katie Bowers,S015,Risk Management,6,7,No
E3761,Tammy Mccarthy,S012,Project Management,5,1,Yes
E4776,Mackenzie Wheeler,S001,JavaScript,1,1,Yes
E3585,Nicole Brady,S005,HTML/CSS,5,2,Yes
E2232,Joshua Henderson,S011,Consulting Basics,5,1,No
E710,Mary Lambert,S007,SQL,4,3,Yes
E210,Eduardo Chang,S004,Docker,1,1,Yes
E2484,Cody Fisher,S001,JavaScript,5,2,No
E451,Gary Ponce,S015,Risk Management,1,2,Yes
E3840,Katherine Adams,S011,Consulting Basics,4,2,Yes
E4131,Jonathan Huber,S005,HTML/CSS,3,4,No
E4688,Michelle Hill,S001,JavaScript,4,4,No
E2685,Michelle Ward,S001,JavaScript,4,1,No
E2315,Jeffrey Farrell,S007,SQL,1,3,Yes
E1512,Amanda Kelly,S008,Machine Learning,5,4,No
E710,Mary Lambert,S004,Docker,7,5,Yes
E2163,Sarah Sanchez,S004,Docker,1,2,No
E3430,Adam Higgins,S006,Python,2,3,Yes
E721,Carol Miller,S013,Financial Modeling,2,4,Yes
E4524,Bryan Harris,S005,HTML/CSS,1,3,Yes
E4169,Bridget Williams,S005,HTML/CSS,3,3,No
E332,Jessica Alexander,S004,Docker,1,4,Yes
E216,Barbara Hernandez,S005,HTML/CSS,1,1,No
E2255,Douglas Barnes,S002,React,9,5,No
E926,Jonathan Morton,S007,SQL,3,1,No
E2818,Donna Carroll,S011,Consulting Basics,3,4,Yes
E4157,Richard Smith,S003,Node.js,1,1,No
E2302,Ashley Leblanc,S004,Docker,4,2,Yes
E244,Miguel Ball,S005,HTML/CSS,9,10,No
E4786,Ricky Randolph MD,S004,Docker,4,3,No
E4610,Matthew Adkins,S014,Client Management,9,6,Yes
E4490,Taylor Ruiz,S012,Project Management,5,4,No
E1133,Francisco Harris,S004,Docker,2,4,Yes
E4118,Rachel Mcconnell,S005,HTML/CSS,9,8,No
E2523,Dana Solomon,S012,Project Management,6,5,No
E278,Carolyn Bryant,S005,HTML/CSS,4,2,No
