,emp_id,emp_name,department,designation,DOJ,age,experience,salary,no_of_promotions,education,skill_id,skill_name,proficiency_level,no_of_projects_done_in_that_skill,certifications,no_of_projects,manager_rating,promotion,T_id,T_name,project_score,hackerrank_score,completed,skill_category
12,E008,Nicholas Miller,Sales,Manager,2006-09-03,48,20,118923.0,3,Masters,S004,Docker,2.0,1.0,No,28,3,1,T013,Advanced Data Visualization,53.0,70.0,1.0,full_stack
13,E008,Nicholas Miller,Sales,Manager,2006-09-03,48,20,118923.0,3,Masters,S004,Docker,2.0,1.0,No,28,3,1,T012,Advanced JavaScript,95.0,99.0,1.0,full_stack
14,E008,Nicholas Miller,Sales,Manager,2006-09-03,48,20,118923.0,3,Masters,S004,Docker,2.0,1.0,No,28,3,1,T006,Financial Modeling,27.0,3.0,0.0,full_stack
15,E009,Alisha Brown,Sales,Mid-level Developer,2021-06-17,36,6,50873.0,2,Bachelors,S002,React,5.0,3.0,Yes,2,4,1,T007,Machine Learning Basics,4.0,30.0,0.0,full_stack
16,E009,Alisha Brown,Sales,Mid-level Developer,2021-06-17,36,6,50873.0,2,Bachelors,S015,Risk Management,4.0,3.0,No,2,4,1,T007,Machine Learning Basics,4.0,30.0,0.0,consulting
17,E010,Kelly Taylor,Marketing,Senior Developer,2013-11-25,31,10,65559.4825,1,Masters,S009,Data Visualization,4.0,1.0,No,29,4,1,T005,Full-Stack Web Development,43.0,77.0,1.0,data
18,E010,Kelly Taylor,Marketing,Senior Developer,2013-11-25,31,10,65559.4825,1,Masters,S015,Risk Management,6.0,5.0,Yes,29,4,1,T005,Full-Stack Web Development,43.0,77.0,1.0,consulting
19,E011,Christopher Green,Sales,Mid-level Developer,2005-09-22,37,6,68301.0,0,MBA,NA,NA,0.0,0.0,NA,24,2,0,T001,SQL Mastery,39.0,12.0,0.0,
20,E011,Christopher Green,Sales,Mid-level Developer,2005-09-22,37,6,68301.0,0,MBA,NA,NA,0.0,0.0,NA,24,2,0,T007,Machine Learning Basics,63.0,37.0,1.0,
21,E012,Angela West,Finance,Manager,2009-09-06,50,20,97050.0,0,MBA,S007,SQL,1.0,2.0,Yes,14,4,0,T007,Machine Learning Basics,32.0,0.0,0.0,data
22,E012,Angela West,Finance,Manager,2009-09-06,50,20,97050.0,0,MBA,S010,Big Data,9.0,10.0,Yes,14,4,0,T007,Machine Learning Basics,32.0,0.0,0.0,data
23,E012,Angela West,Finance,Manager,2009-09-06,50,20,97050.0,0,MBA,S005,HTML/CSS,6.0,9.0,Yes,14,4,0,T007,Machine Learning Basics,32.0,0.0,0.0,full_stack
24,E013,Stephanie Martinez,Finance,Junior Developer,2012-06-25,25,4,38347.0,3,Bachelors,S013,Financial Modeling,8.0,7.0,Yes,27,2,0,NA,NA,0.0,0.0,0.0,consulting
25,E014,Catherine Jones,Finance,Senior Developer,2018-07-15,42,11,96075.0,1,Bachelors,S003,Node.js,3.0,2.0,Yes,30,5,0,NA,NA,0.0,0.0,0.0,full_stack
26,E015,Kelly Suarez,HR,Mid-level Developer,2015-02-04,25,5,42104.0,2,MBA,S004,Docker,3.0,4.0,Yes,29,5,0,T014,Python for Data Analysis,37.0,28.0,0.0,full_stack
27,E016,Adam Mccoy,Finance,Mid-level Developer,2019-06-25,25,5,49519.0,2,Bachelors,S015,Risk Management,7.0,6.0,Yes,12,5,1,T013,Advanced Data Visualization,40.0,13.0,0.0,consulting
28,E016,Adam Mccoy,Finance,Mid-level Developer,2019-06-25,25,5,49519.0,2,Bachelors,S003,Node.js,6.0,12.0,Yes,12,5,1,T013,Advanced Data Visualization,40.0,13.0,0.0,full_stack
29,E017,Travis Moore,Marketing,Senior Developer,2014-07-14,31,10,71500.0,2,Bachelors,S004,Docker,10.0,6.0,Yes,7,5,0,NA,NA,0.0,0.0,0.0,full_stack
30,E017,Travis Moore,Marketing,Senior Developer,2014-07-14,31,10,71500.0,2,Bachelors,S015,Risk Management,3.0,2.0,No,7,5,0,NA,NA,0.0,0.0,0.0,consulting
31,E017,Travis Moore,Marketing,Senior Developer,2014-07-14,31,10,71500.0,2,Bachelors,S007,SQL,10.0,10.0,No,7,5,0,NA,NA,0.0,0.0,0.0,data
32,E017,Travis Moore,Marketing,Senior Developer,2014-07-14,31,10,71500.0,2,Bachelors,S003,Node.js,5.0,3.0,No,7,5,0,NA,NA,0.0,0.0,0.0,full_stack
33,E018,Patrick Little,Finance,Senior Developer,2016-02-01,40,11,95405.0,1,Masters,S001,JavaScript,2.0,4.0,Yes,7,5,0,T013,Advanced Data Visualization,36.0,35.0,0.0,full_stack
34,E018,Patrick Little,Finance,Senior Developer,2016-02-01,40,11,95405.0,1,Masters,S001,JavaScript,2.0,4.0,Yes,7,5,0,T012,Advanced JavaScript,28.0,29.0,0.0,full_stack
35,E018,Patrick Little,Finance,Senior Developer,2016-02-01,40,11,95405.0,1,Masters,S005,HTML/CSS,7.0,9.0,Yes,7,5,0,T013,Advanced Data Visualization,36.0,35.0,0.0,full_stack
36,E018,Patrick Little,Finance,Senior Developer,2016-02-01,40,11,95405.0,1,Masters,S005,HTML/CSS,7.0,9.0,Yes,7,5,0,T012,Advanced JavaScript,28.0,29.0,0.0,full_stack
37,E019,Alexandria Smith,Finance,Senior Developer,2009-08-16,34,10,57333.0,3,Masters,S015,Risk Management,10.0,10.0,No,20,2,1,T014,Python for Data Analysis,35.0,9.0,0.0,consulting
38,E019,Alexandria Smith,Finance,Senior Developer,2009-08-16,34,10,57333.0,3,Masters,S015,Risk Management,10.0,10.0,No,20,2,1,T001,SQL Mastery,8.0,89.0,1.0,consulting
39,E020,Aaron Miller,Engineering,Mid-level Developer,2024-09-07,36,6,53311.0,3,Bachelors,S002,React,8.0,9.0,No,20,5,0,T001,SQL Mastery,10.0,40.0,0.0,full_stack
40,E020,Aaron Miller,Engineering,Mid-level Developer,2024-09-07,36,6,53311.0,3,Bachelors,S002,React,8.0,9.0,No,20,5,0,T001,SQL Mastery,64.0,84.0,1.0,full_stack
41,E020,Aaron Miller,Engineering,Mid-level Developer,2024-09-07,36,6,53311.0,3,Bachelors,S010,Big Data,7.0,5.0,No,20,5,0,T001,SQL Mastery,10.0,40.0,0.0,data
42,E020,Aaron Miller,Engineering,Mid-level Developer,2024-09-07,36,6,53311.0,3,Bachelors,S010,Big Data,7.0,5.0,No,20,5,0,T001,SQL Mastery,64.0,84.0,1.0,data
43,E021,Laura Clarke,Finance,Senior Developer,2008-03-28,46,11,113066.0,2,MBA,S010,Big Data,2.0,4.0,No,23,5,1,T003,Business Process Management,60.0,90.0,1.0,data
44,E022,Benjamin Johnston,Marketing,Manager,2014-03-31,40,20,91368.0,0,MBA,NA,NA,0.0,0.0,NA,21,2,0,T007,Machine Learning Basics,15.0,97.0,1.0,
45,E023,Laurie Johnson,Engineering,Mid-level Developer,2017-05-11,29,5,39618.0,1,Masters,NA,NA,0.0,0.0,NA,30,4,1,T007,Machine Learning Basics,58.0,18.0,1.0,
46,E024,Ryan Mullins,Engineering,Senior Developer,2007-08-04,39,10,62526.0,2,MBA,S004,Docker,7.0,7.0,Yes,15,2,1,T008,Data Science Bootcamp,3.0,16.0,0.0,full_stack
47,E024,Ryan Mullins,Engineering,Senior Developer,2007-08-04,39,10,62526.0,2,MBA,S004,Docker,7.0,7.0,Yes,15,2,1,T009,DevOps with Docker,5.0,20.0,0.0,full_stack
48,E025,Tara Robertson,Finance,Senior Developer,2005-08-24,37,10,65559.4825,1,Bachelors,S015,Risk Management,8.0,6.0,No,23,2,1,T010,Node.js Masterclass,7.0,11.0,0.0,consulting
49,E026,Heather Park,Engineering,Mid-level Developer,2021-01-24,37,6,50554.0,2,MBA,S010,Big Data,5.0,4.0,Yes,23,4,1,NA,NA,0.0,0.0,0.0,data
50,E026,Heather Park,Engineering,Mid-level Developer,2021-01-24,37,6,50554.0,2,MBA,S005,HTML/CSS,3.0,1.0,No,23,4,1,NA,NA,0.0,0.0,0.0,full_stack
51,E026,Heather Park,Engineering,Mid-level Developer,2021-01-24,37,6,50554.0,2,MBA,S002,React,3.0,4.0,Yes,23,4,1,NA,NA,0.0,0.0,0.0,full_stack
52,E027,Jesus Davies,HR,Senior Developer,2005-03-03,40,11,100085.0,1,Masters,S006,Python,5.0,4.0,No,28,5,0,T014,Python for Data Analysis,27.0,77.0,1.0,data
53,E028,Barry Johnson,Finance,Senior Developer,2024-04-25,45,11,115918.0,1,Bachelors,S012,Project Management,5.0,3.0,Yes,21,2,0,T008,Data Science Bootcamp,13.0,27.0,0.0,consulting
54,E028,Barry Johnson,Finance,Senior Developer,2024-04-25,45,11,115918.0,1,Bachelors,S011,Consulting Basics,10.0,5.0,Yes,21,2,0,T008,Data Science Bootcamp,13.0,27.0,0.0,consulting
55,E029,Felicia Case,Sales,Manager,2010-12-13,42,20,80192.0,0,Bachelors,S004,Docker,1.0,2.0,No,4,2,1,T004,Client Relationship Management,39.0,19.0,0.0,full_stack
56,E029,Felicia Case,Sales,Manager,2010-12-13,42,20,80192.0,0,Bachelors,S010,Big Data,6.0,10.0,No,4,2,1,T004,Client Relationship Management,39.0,19.0,0.0,data
57,E029,Felicia Case,Sales,Manager,2010-12-13,42,20,80192.0,0,Bachelors,S001,JavaScript,7.0,6.0,Yes,4,2,1,T004,Client Relationship Management,39.0,19.0,0.0,full_stack
58,E030,Dylan Beard,Engineering,Manager,2020-12-04,44,20,117309.0,2,Masters,S005,HTML/CSS,3.0,4.0,No,30,3,1,T015,Project Management for Consultants,37.0,2.0,0.0,full_stack
59,E030,Dylan Beard,Engineering,Manager,2020-12-04,44,20,117309.0,2,Masters,S002,React,4.0,1.0,No,30,3,1,T015,Project Management for Consultants,37.0,2.0,0.0,full_stack
60,E030,Dylan Beard,Engineering,Manager,2020-12-04,44,20,117309.0,2,Masters,S011,Consulting Basics,8.0,8.0,No,30,3,1,T015,Project Management for Consultants,37.0,2.0,0.0,consulting
61,E031,Wendy Pruitt,Sales,Senior Developer,2005-12-19,41,11,102243.0,0,Bachelors,NA,NA,0.0,0.0,NA,22,3,1,T014,Python for Data Analysis,6.0,38.0,0.0,
62,E031,Wendy Pruitt,Sales,Senior Developer,2005-12-19,41,11,102243.0,0,Bachelors,NA,NA,0.0,0.0,NA,22,3,1,T012,Advanced JavaScript,28.0,12.0,0.0,
63,E032,David Taylor,Finance,Senior Developer,2007-03-15,49,11,118300.0,1,Masters,S004,Docker,5.0,1.0,No,24,3,0,T014,Python for Data Analysis,65.0,89.0,1.0,full_stack
64,E032,David Taylor,Finance,Senior Developer,2007-03-15,49,11,118300.0,1,Masters,S004,Docker,5.0,1.0,No,24,3,0,T013,Advanced Data Visualization,52.0,52.0,1.0,full_stack
65,E032,David Taylor,Finance,Senior Developer,2007-03-15,49,11,118300.0,1,Masters,S001,JavaScript,7.0,5.0,No,24,3,0,T014,Python for Data Analysis,65.0,89.0,1.0,full_stack
66,E032,David Taylor,Finance,Senior Developer,2007-03-15,49,11,118300.0,1,Masters,S001,JavaScript,7.0,5.0,No,24,3,0,T013,Advanced Data Visualization,52.0,52.0,1.0,full_stack
67,E033,Jason Stein,Engineering,Manager,2013-06-29,48,20,113726.0,0,Masters,NA,NA,0.0,0.0,NA,28,4,1,T012,Advanced JavaScript,15.0,51.0,1.0,
68,E034,Larry Chen,Marketing,Junior Developer,2005-03-05,25,3,44898.0,3,MBA,S008,Machine Learning,9.0,10.0,No,18,3,1,NA,NA,0.0,0.0,0.0,data
69,E035,Tiffany Austin,Marketing,Senior Developer,2009-05-28,42,11,97943.0,0,Masters,NA,NA,0.0,0.0,NA,1,3,1,T007,Machine Learning Basics,1.0,30.0,0.0,
70,E035,Tiffany Austin,Marketing,Senior Developer,2009-05-28,42,11,97943.0,0,Masters,NA,NA,0.0,0.0,NA,1,3,1,T014,Python for Data Analysis,11.0,20.0,0.0,
71,E035,Tiffany Austin,Marketing,Senior Developer,2009-05-28,42,11,97943.0,0,Masters,NA,NA,0.0,0.0,NA,1,3,1,T007,Machine Learning Basics,8.0,16.0,1.0,
72,E036,Andrea Johnson,Marketing,Senior Developer,2020-01-17,48,11,111707.0,1,MBA,S011,Consulting Basics,2.0,1.0,No,1,3,0,NA,NA,0.0,0.0,0.0,consulting
73,E037,Karen Lewis,HR,Junior Developer,2010-07-11,22,2,33006.0,0,MBA,NA,NA,0.0,0.0,NA,12,1,0,T007,Machine Learning Basics,10.0,29.0,0.0,
74,E038,Gregory Baker,Engineering,Mid-level Developer,2017-03-25,32,11,70355.0,3,Masters,NA,NA,0.0,0.0,NA,6,1,0,NA,NA,0.0,0.0,0.0,
75,E039,Audrey Sanchez,Sales,Mid-level Developer,2017-11-01,37,6,69829.0,3,Masters,S008,Machine Learning,8.0,11.0,No,30,4,0,T005,Full-Stack Web Development,26.0,2.0,0.0,data
76,E039,Audrey Sanchez,Sales,Mid-level Developer,2017-11-01,37,6,69829.0,3,Masters,S001,JavaScript,6.0,9.0,No,30,4,0,T005,Full-Stack Web Development,26.0,2.0,0.0,full_stack
77,E040,Grant Sharp,HR,Senior Developer,2017-09-22,30,10,77104.0,1,Masters,NA,NA,0.0,0.0,NA,5,4,0,NA,NA,0.0,0.0,0.0,
78,E041,Beth Howell,Sales,Mid-level Developer,2023-12-30,37,6,70534.0,2,Bachelors,NA,NA,0.0,0.0,NA,18,3,0,T005,Full-Stack Web Development,12.0,76.0,1.0,
79,E041,Beth Howell,Sales,Mid-level Developer,2023-12-30,37,6,70534.0,2,Bachelors,NA,NA,0.0,0.0,NA,18,3,0,T003,Business Process Management,70.0,48.0,1.0,
80,E042,Joshua Davis,Engineering,Mid-level Developer,2014-12-24,32,6,54679.0,3,Masters,NA,NA,0.0,0.0,NA,24,5,0,T007,Machine Learning Basics,91.0,26.0,1.0,
81,E042,Joshua Davis,Engineering,Mid-level Developer,2014-12-24,32,6,54679.0,3,Masters,NA,NA,0.0,0.0,NA,24,5,0,T008,Data Science Bootcamp,87.0,41.0,1.0,
82,E043,Grace Aguilar,Finance,Senior Developer,2023-01-10,47,11,112160.0,2,MBA,NA,NA,0.0,0.0,NA,23,4,0,T008,Data Science Bootcamp,40.0,5.0,0.0,
83,E043,Grace Aguilar,Finance,Senior Developer,2023-01-10,47,11,112160.0,2,MBA,NA,NA,0.0,0.0,NA,23,4,0,T012,Advanced JavaScript,92.0,2.0,1.0,
84,E044,Alison Wilson,Sales,Senior Developer,2016-01-13,31,10,78955.0,3,Bachelors,NA,NA,0.0,0.0,NA,24,3,0,NA,NA,0.0,0.0,0.0,
85,E045,Jason Cooper,Marketing,Manager,2010-02-28,43,20,99894.0,5,Masters,S008,Machine Learning,2.0,1.0,No,16,1,1,T014,Python for Data Analysis,95.0,32.0,1.0,data
86,E045,Jason Cooper,Marketing,Manager,2010-02-28,43,20,99894.0,5,Masters,S009,Data Visualization,1.0,4.0,Yes,16,1,1,T014,Python for Data Analysis,95.0,32.0,1.0,data
87,E046,Daniel Shelton,Engineering,Junior Developer,2006-05-26,28,4,41306.0,0,Masters,S003,Node.js,9.0,8.0,Yes,24,4,0,NA,NA,0.0,0.0,0.0,full_stack
88,E047,Mary Hodge,Finance,Manager,2005-10-28,50,20,110010.0,2,Bachelors,S012,Project Management,5.0,1.0,No,14,3,0,T004,Client Relationship Management,41.0,4.0,1.0,consulting
89,E047,Mary Hodge,Finance,Manager,2005-10-28,50,20,110010.0,2,Bachelors,S002,React,3.0,4.0,No,14,3,0,T004,Client Relationship Management,41.0,4.0,1.0,full_stack
90,E048,Frederick Leach,HR,Senior Developer,2005-11-13,35,10,73258.0,0,MBA,S002,React,7.0,6.0,Yes,6,2,0,T007,Machine Learning Basics,54.0,64.0,1.0,full_stack
91,E049,Michael Diaz,Marketing,Senior Developer,2017-02-03,38,10,65559.4825,0,Bachelors,NA,NA,0.0,0.0,NA,13,2,0,T005,Full-Stack Web Development,49.0,40.0,1.0,
92,E050,Kathryn Dunn,HR,Manager,2017-05-30,45,20,114396.0,0,Bachelors,S010,Big Data,9.0,7.0,Yes,10,4,1,T006,Financial Modeling,47.0,87.0,1.0,data
93,E050,Kathryn Dunn,HR,Manager,2017-05-30,45,20,114396.0,0,Bachelors,S010,Big Data,9.0,7.0,Yes,10,4,1,T010,Node.js Masterclass,68.0,11.0,1.0,data
94,E050,Kathryn Dunn,HR,Manager,2017-05-30,45,20,114396.0,0,Bachelors,S006,Python,7.0,10.0,No,10,4,1,T006,Financial Modeling,47.0,87.0,1.0,data
95,E050,Kathryn Dunn,HR,Manager,2017-05-30,45,20,114396.0,0,Bachelors,S006,Python,7.0,10.0,No,10,4,1,T010,Node.js Masterclass,68.0,11.0,1.0,data
96,E051,Charles Anderson,Finance,Manager,2020-12-12,50,20,117510.0,1,Bachelors,NA,NA,0.0,0.0,NA,13,1,1,NA,NA,0.0,0.0,0.0,
97,E052,Adam Black,Sales,Junior Developer,2021-08-19,22,1,22441.0,0,Bachelors,NA,NA,0.0,0.0,NA,14,2,0,T005,Full-Stack Web Development,25.0,39.0,0.0,
98,E053,Timothy Miller,Engineering,Junior Developer,2008-12-13,28,3,46579.0,3,Bachelors,NA,NA,0.0,0.0,NA,19,1,1,T008,Data Science Bootcamp,18.0,3.0,1.0,
99,E053,Timothy Miller,Engineering,Junior Developer,2008-12-13,28,3,46579.0,3,Bachelors,NA,NA,0.0,0.0,NA,19,1,1,T007,Machine Learning Basics,12.0,7.0,0.0,
100,E054,Kelly Cuevas,Marketing,Manager,2012-05-20,41,20,91563.0,2,Masters,S010,Big Data,7.0,8.0,No,15,2,0,T004,Client Relationship Management,5.0,65.0,1.0,data
101,E054,Kelly Cuevas,Marketing,Manager,2012-05-20,41,20,91563.0,2,Masters,S010,Big Data,7.0,8.0,No,15,2,0,T005,Full-Stack Web Development,92.0,76.0,1.0,data
102,E054,Kelly Cuevas,Marketing,Manager,2012-05-20,41,20,91563.0,2,Masters,S009,Data Visualization,1.0,1.0,Yes,15,2,0,T004,Client Relationship Management,5.0,65.0,1.0,data
103,E054,Kelly Cuevas,Marketing,Manager,2012-05-20,41,20,91563.0,2,Masters,S009,Data Visualization,1.0,1.0,Yes,15,2,0,T005,Full-Stack Web Development,92.0,76.0,1.0,data
104,E055,David Webster,HR,Junior Developer,2006-08-28,24,1,26439.0,0,MBA,NA,NA,0.0,0.0,NA,15,1,0,NA,NA,0.0,0.0,0.0,
105,E056,Katherine Johnson,Engineering,Senior Developer,2013-07-25,31,10,62014.0,2,Bachelors,NA,NA,0.0,0.0,NA,11,4,0,T014,Python for Data Analysis,27.0,14.0,0.0,
106,E057,Stephen Hartman,Finance,Senior Developer,2011-11-06,36,10,65559.4825,2,Masters,S013,Financial Modeling,7.0,12.0,Yes,29,1,1,NA,NA,0.0,0.0,0.0,consulting
107,E057,Stephen Hartman,Finance,Senior Developer,2011-11-06,36,10,65559.4825,2,Masters,S015,Risk Management,8.0,5.0,Yes,29,1,1,NA,NA,0.0,0.0,0.0,consulting
108,E058,Adam Henson,Engineering,Junior Developer,2017-07-02,26,4,36144.0,3,MBA,NA,NA,0.0,0.0,NA,8,5,1,T008,Data Science Bootcamp,3.0,71.0,1.0,
109,E059,Meredith Rowe,HR,Senior Developer,2013-01-28,41,11,117001.0,1,Bachelors,NA,NA,0.0,0.0,NA,18,1,1,T015,Project Management for Consultants,94.0,8.0,1.0,
110,E060,Daniel Richards,Marketing,Manager,2007-11-02,43,20,116913.0,3,MBA,S008,Machine Learning,5.0,3.0,No,21,2,1,NA,NA,0.0,0.0,0.0,data
111,E060,Daniel Richards,Marketing,Manager,2007-11-02,43,20,116913.0,3,MBA,S001,JavaScript,1.0,4.0,No,21,2,1,NA,NA,0.0,0.0,0.0,full_stack
112,E060,Daniel Richards,Marketing,Manager,2007-11-02,43,20,116913.0,3,MBA,S005,HTML/CSS,9.0,12.0,No,21,2,1,NA,NA,0.0,0.0,0.0,full_stack
113,E060,Daniel Richards,Marketing,Manager,2007-11-02,43,20,116913.0,3,MBA,S011,Consulting Basics,6.0,5.0,No,21,2,1,NA,NA,0.0,0.0,0.0,consulting
114,E061,Sarah Nichols,HR,Junior Developer,2015-10-09,24,2,31125.0,0,Bachelors,S006,Python,5.0,1.0,No,19,5,0,T005,Full-Stack Web Development,3.0,29.0,0.0,data
115,E061,Sarah Nichols,HR,Junior Developer,2015-10-09,24,2,31125.0,0,Bachelors,S006,Python,5.0,1.0,No,19,5,0,T015,Project Management for Consultants,4.0,39.0,0.0,data
116,E061,Sarah Nichols,HR,Junior Developer,2015-10-09,24,2,31125.0,0,Bachelors,S006,Python,5.0,1.0,No,19,5,0,T001,SQL Mastery,27.0,13.0,0.0,data
117,E061,Sarah Nichols,HR,Junior Developer,2015-10-09,24,2,31125.0,0,Bachelors,S006,Python,5.0,1.0,No,19,5,0,T004,Client Relationship Management,19.0,21.0,0.0,data
118,E061,Sarah Nichols,HR,Junior Developer,2015-10-09,24,2,31125.0,0,Bachelors,S004,Docker,5.0,2.0,No,19,5,0,T005,Full-Stack Web Development,3.0,29.0,0.0,full_stack
119,E061,Sarah Nichols,HR,Junior Developer,2015-10-09,24,2,31125.0,0,Bachelors,S004,Docker,5.0,2.0,No,19,5,0,T015,Project Management for Consultants,4.0,39.0,0.0,full_stack
120,E061,Sarah Nichols,HR,Junior Developer,2015-10-09,24,2,31125.0,0,Bachelors,S004,Docker,5.0,2.0,No,19,5,0,T001,SQL Mastery,27.0,13.0,0.0,full_stack
121,E061,Sarah Nichols,HR,Junior Developer,2015-10-09,24,2,31125.0,0,Bachelors,S004,Docker,5.0,2.0,No,19,5,0,T004,Client Relationship Management,19.0,21.0,0.0,full_stack
122,E062,Diane Coffey,Finance,Mid-level Developer,2016-07-09,30,6,69971.0,1,Bachelors,NA,NA,0.0,0.0,NA,20,1,1,T005,Full-Stack Web Development,50.0,79.0,1.0,
123,E063,Shelley Schneider,Engineering,Manager,2017-04-21,43,20,104205.0,3,Masters,NA,NA,0.0,0.0,NA,9,1,0,NA,NA,0.0,0.0,0.0,
124,E064,Sarah Evans,Marketing,Manager,2017-09-21,50,20,90510.0,3,Bachelors,NA,NA,0.0,0.0,NA,15,5,1,T014,Python for Data Analysis,2.0,13.0,0.0,
125,E065,Melissa Cooper,HR,Mid-level Developer,2008-06-02,33,6,50836.0,1,MBA,NA,NA,0.0,0.0,NA,17,2,1,NA,NA,0.0,0.0,0.0,
126,E066,Marcus Griffin,Finance,Senior Developer,2005-09-27,41,11,94939.0,1,Masters,S014,Client Management,7.0,10.0,No,24,2,1,T014,Python for Data Analysis,100.0,69.0,1.0,consulting
127,E066,Marcus Griffin,Finance,Senior Developer,2005-09-27,41,11,94939.0,1,Masters,S006,Python,5.0,2.0,No,24,2,1,T014,Python for Data Analysis,100.0,69.0,1.0,data
128,E067,Debra Pena,Engineering,Senior Developer,2014-04-02,50,11,117481.0,2,MBA,NA,NA,0.0,0.0,NA,6,3,0,T004,Client Relationship Management,38.0,21.0,0.0,
129,E067,Debra Pena,Engineering,Senior Developer,2014-04-02,50,11,117481.0,2,MBA,NA,NA,0.0,0.0,NA,6,3,0,T010,Node.js Masterclass,9.0,30.0,0.0,
130,E067,Debra Pena,Engineering,Senior Developer,2014-04-02,50,11,117481.0,2,MBA,NA,NA,0.0,0.0,NA,6,3,0,T001,SQL Mastery,20.0,77.0,1.0,
131,E068,Dustin Erickson,Engineering,Junior Developer,2019-02-11,23,2,29510.0,0,Bachelors,S013,Financial Modeling,7.0,8.0,No,2,1,0,NA,NA,0.0,0.0,0.0,consulting
132,E069,Jared Stevenson,HR,Mid-level Developer,2017-06-17,37,6,64378.0,0,Bachelors,S013,Financial Modeling,9.0,8.0,No,5,1,0,T007,Machine Learning Basics,19.0,44.0,1.0,consulting
133,E069,Jared Stevenson,HR,Mid-level Developer,2017-06-17,37,6,64378.0,0,Bachelors,S002,React,10.0,10.0,Yes,5,1,0,T007,Machine Learning Basics,19.0,44.0,1.0,full_stack
134,E070,Melanie Gonzalez,Engineering,Senior Developer,2012-07-15,40,11,94951.0,1,Bachelors,S011,Consulting Basics,2.0,3.0,No,13,5,1,NA,NA,0.0,0.0,0.0,consulting
135,E071,Jill Gonzalez,Marketing,Manager,2011-04-10,41,20,87487.0,3,Bachelors,NA,NA,0.0,0.0,NA,3,1,1,T011,Consulting Essentials,12.0,7.0,0.0,
136,E072,Donald Velez,Marketing,Senior Developer,2005-11-01,35,10,64462.0,0,Bachelors,S012,Project Management,2.0,1.0,Yes,29,5,0,NA,NA,0.0,0.0,0.0,consulting
137,E073,Ernest Thompson,Finance,Manager,2014-10-08,48,20,89794.0,2,Bachelors,NA,NA,0.0,0.0,NA,5,2,0,T014,Python for Data Analysis,50.0,83.0,1.0,
138,E074,Kristen Jacobs,Marketing,Manager,2017-06-21,50,20,115754.0,0,MBA,S004,Docker,6.0,5.0,Yes,9,4,0,T002,React and Redux,46.0,79.0,1.0,full_stack
139,E074,Kristen Jacobs,Marketing,Manager,2017-06-21,50,20,115754.0,0,MBA,S004,Docker,6.0,5.0,Yes,9,4,0,T007,Machine Learning Basics,35.0,15.0,0.0,full_stack
140,E074,Kristen Jacobs,Marketing,Manager,2017-06-21,50,20,115754.0,0,MBA,S015,Risk Management,8.0,11.0,Yes,9,4,0,T002,React and Redux,46.0,79.0,1.0,consulting
